Open_Date,Open_Time,Close_Date,Close_Time,Day,Hour,Type,Entry,SL,TP,Result,RR,PnL_pts
2024-03-19,19:30:00,2024-03-20,03:30:00,Wednesday,03:30:00,SHORT,2153.2,2162.0,2144.4,SL,-1,-8.8
2024-03-21,00:30:00,2024-03-21,03:30:00,Thursday,03:30:00,LONG,2187.3,2160.0,2214.6,TP,1,27.3
2024-03-21,20:30:00,2024-03-22,22:30:00,Friday,22:30:00,SHORT,2177.3,2194.1,2160.5,TP,1,16.8
2024-03-22,07:30:00,2024-03-22,22:30:00,Friday,22:30:00,SHORT,2174.5,2187.8,2161.2,TP,1,13.3
2024-03-22,21:30:00,2024-03-22,22:30:00,Friday,22:30:00,SHORT,2167.0,2175.5,2158.5,TP,1,8.5
2024-03-26,14:30:00,2024-03-26,14:30:00,Tuesday,14:30:00,LONG,2179.8,2172.1,2187.5,TP,1,7.7
2024-03-27,13:30:00,2024-03-27,13:30:00,Wednesday,13:30:00,LONG,2201.4,2175.8,2227.0,SL,-1,-25.6
2024-03-28,08:30:00,2024-03-28,21:30:00,Thursday,21:30:00,LONG,2217.0,2188.6,2245.4,TP,1,28.4
2024-03-28,14:30:00,2024-03-28,21:30:00,Thursday,21:30:00,LONG,2217.8,2191.8,2243.8,TP,1,26.0
2024-04-02,03:30:00,2024-04-02,13:30:00,Tuesday,13:30:00,LONG,2273.1,2263.5,2282.7,TP,1,9.6
2024-04-02,08:30:00,2024-04-02,13:30:00,Tuesday,13:30:00,LONG,2275.4,2268.0,2282.8,TP,1,7.4
2024-04-02,12:30:00,2024-04-02,13:30:00,Tuesday,13:30:00,LONG,2276.4,2272.9,2279.9,TP,1,3.5
2024-04-02,19:30:00,2024-04-02,20:30:00,Tuesday,20:30:00,LONG,2287.9,2274.8,2301.0,SL,-1,-13.1
2024-04-02,23:30:00,2024-04-03,00:30:00,Wednesday,00:30:00,LONG,2287.6,2279.9,2295.3,TP,1,7.7
2024-04-03,20:30:00,2024-04-03,23:30:00,Wednesday,23:30:00,LONG,2306.0,2294.5,2317.5,TP,1,11.5
2024-04-05,19:30:00,2024-04-05,19:30:00,Friday,19:30:00,LONG,2323.0,2306.1,2339.9,TP,1,16.9
2024-04-08,07:30:00,2024-04-08,07:30:00,Monday,07:30:00,LONG,2344.3,2321.7,2366.9,TP,1,22.6
2024-04-09,05:30:00,2024-04-09,06:30:00,Tuesday,06:30:00,LONG,2359.4,2356.5,2362.3,TP,1,2.9
2024-04-09,19:30:00,2024-04-09,19:30:00,Tuesday,19:30:00,LONG,2379.7,2366.8,2392.6,SL,-1,-12.9
2024-04-10,18:30:00,2024-04-10,19:30:00,Wednesday,19:30:00,SHORT,2346.1,2369.4,2322.8,SL,-1,-23.3
2024-04-11,23:30:00,2024-04-12,00:30:00,Friday,00:30:00,LONG,2375.0,2365.6,2384.4,TP,1,9.4
2024-04-12,23:30:00,2024-04-15,23:30:00,Monday,23:30:00,SHORT,2363.0,2390.3,2335.7,SL,-1,-27.3
2024-04-16,00:30:00,2024-04-16,12:30:00,Tuesday,12:30:00,LONG,2395.0,2380.4,2409.6,SL,-1,-14.6
2024-04-17,14:30:00,2024-04-17,17:30:00,Wednesday,17:30:00,LONG,2409.8,2398.8,2420.8,SL,-1,-11.0
2024-04-19,22:30:00,2024-04-20,00:30:00,Saturday,00:30:00,LONG,2414.7,2404.7,2424.7,SL,-1,-10.0
2024-04-22,10:30:00,2024-04-22,10:30:00,Monday,10:30:00,SHORT,2382.4,2386.7,2378.1,TP,1,4.3
2024-04-26,11:30:00,2024-04-26,12:30:00,Friday,12:30:00,LONG,2350.7,2346.0,2355.4,TP,1,4.7
2024-04-29,08:30:00,2024-04-29,09:30:00,Monday,09:30:00,SHORT,2335.3,2342.9,2327.7,SL,-1,-7.6
2024-04-30,09:30:00,2024-04-30,09:30:00,Tuesday,09:30:00,SHORT,2339.8,2343.0,2336.6,TP,1,3.2
2024-05-02,03:30:00,2024-05-02,12:30:00,Thursday,12:30:00,LONG,2331.5,2317.9,2345.1,SL,-1,-13.6
2024-05-02,17:30:00,2024-05-02,17:30:00,Thursday,17:30:00,SHORT,2306.7,2313.0,2300.4,SL,-1,-6.3
2024-05-06,11:30:00,2024-05-06,12:30:00,Monday,12:30:00,LONG,2322.8,2317.7,2327.9,TP,1,5.1
2024-05-06,21:30:00,2024-05-06,21:30:00,Monday,21:30:00,LONG,2334.2,2328.1,2340.3,SL,-1,-6.1
2024-05-07,04:30:00,2024-05-07,04:30:00,Tuesday,04:30:00,LONG,2335.5,2333.0,2338.0,SL,-1,-2.5
2024-05-08,13:30:00,2024-05-08,15:30:00,Wednesday,15:30:00,SHORT,2312.7,2322.6,2302.8,SL,-1,-9.9
2024-05-09,19:30:00,2024-05-10,00:30:00,Friday,00:30:00,LONG,2333.6,2318.0,2349.2,TP,1,15.6
2024-05-10,21:30:00,2024-05-13,06:30:00,Monday,06:30:00,LONG,2373.1,2363.1,2383.1,SL,-1,-10.0
2024-05-13,13:30:00,2024-05-13,14:30:00,Monday,14:30:00,SHORT,2352.4,2357.4,2347.4,TP,1,5.0
2024-05-13,20:30:00,2024-05-13,20:30:00,Monday,20:30:00,SHORT,2346.8,2352.5,2341.1,TP,1,5.7
2024-05-15,08:30:00,2024-05-15,09:30:00,Wednesday,09:30:00,LONG,2364.5,2362.0,2367.0,SL,-1,-2.5
2024-05-14,19:30:00,2024-05-15,12:30:00,Wednesday,12:30:00,LONG,2361.1,2350.5,2371.7,TP,1,10.6
2024-05-14,22:30:00,2024-05-15,12:30:00,Wednesday,12:30:00,LONG,2361.2,2351.6,2370.8,TP,1,9.6
2024-05-15,13:30:00,2024-05-15,13:30:00,Wednesday,13:30:00,LONG,2371.8,2363.9,2379.7,TP,1,7.9
2024-05-15,20:30:00,2024-05-16,06:30:00,Thursday,06:30:00,LONG,2379.6,2358.8,2400.4,TP,1,20.8
2024-05-16,13:30:00,2024-05-16,14:30:00,Thursday,14:30:00,LONG,2395.7,2388.6,2402.8,SL,-1,-7.1
2024-05-17,16:30:00,2024-05-17,17:30:00,Friday,17:30:00,LONG,2391.8,2386.0,2397.6,TP,1,5.8
2024-05-22,10:30:00,2024-05-22,10:30:00,Wednesday,10:30:00,SHORT,2415.3,2419.6,2411.0,SL,-1,-4.3
2024-05-22,22:30:00,2024-05-22,23:30:00,Wednesday,23:30:00,SHORT,2392.6,2398.4,2386.8,TP,1,5.8
